Date,^FCHI,^FTSE,^GDAXI,^GSPC
2017-11-21,5366.149902,7411.299805,13167.540039,2599.030029
2017-11-22,5352.759765999999,7419.0,13015.040039,2597.080078
2017-11-23,5379.540039,7417.200195,13008.549805,
2017-11-24,5390.459961,7409.600098000001,13059.839844,2602.419922
2017-11-27,5360.089844,7383.899901999999,13000.200195,2601.419922
2017-11-28,5390.47998,7460.700195,13059.530273,2627.040039
2017-11-29,5398.049805,7393.600098000001,13061.870117,2626.070068
2017-11-30,5372.790039,7326.700195,13023.980469,2647.580078
2017-12-01,5316.890136999999,7300.5,12861.490234,2642.219971
2017-12-04,5389.290039,7339.0,13058.549805,2639.439941
2017-12-05,5375.529785,7327.5,13048.540039,2629.570068
2017-12-06,5374.350098,7348.0,12998.849609,2629.27002
2017-12-07,5383.859863000001,7320.799805,13045.150391,2636.97998
2017-12-08,5399.089844,7394.0,13153.700195,2651.5
2017-12-11,5386.830078,7453.5,13123.650391,2659.98999
2017-12-12,5427.189941,7500.399901999999,13183.530273,2664.110107
2017-12-13,5399.450195,7496.5,13125.639648,2662.850098
2017-12-14,5357.140136999999,7448.100098000001,13068.080078,2652.01001
2017-12-15,5349.299805,7490.600098000001,13103.55957,2675.810059
2017-12-18,5420.580078,7537.0,13312.299805,2690.159912
2017-12-19,5382.910156,7544.100098000001,13215.790039,2681.469971
2017-12-20,5352.77002,7525.200195,13069.169922,2679.25
2017-12-21,5385.970215,7604.0,13109.740234,2684.570068
2017-12-22,5364.720215,7592.700195,13072.790039,2683.340088
2017-12-26,,,,2680.5
2017-12-27,5368.839844,7620.700195,13070.019531,2682.6201170000004
2017-12-28,5339.419922,7622.899901999999,12979.94043,2687.540039
2017-12-29,5312.560059,7687.799805,12917.639648,2673.610107
2018-01-02,5288.600098,7648.100098000001,12871.389648,2695.810059
2018-01-03,5331.279785,7671.100098000001,12978.209961,2713.060059
2018-01-04,5413.689941,7695.899901999999,13167.889648,2723.98999
2018-01-05,5470.75,7724.200195,13319.639648,2743.149902
2018-01-08,5487.419922,7696.5,13367.780273,2747.709961
2018-01-09,5523.939941,7731.0,13385.589844,2751.290039
2018-01-10,5504.680176,7748.5,13281.339844,2748.22998
2018-01-11,5488.549805,7762.899901999999,13202.900391,2767.560059
2018-01-12,5517.060059,7778.600098000001,13245.030273,2786.23999
2018-01-15,5509.689941,7769.100098000001,13200.509766,
2018-01-16,5513.819824,7755.899901999999,13246.330078,2776.419922
2018-01-17,5493.990234000001,7725.399901999999,13183.959961,2802.560059
2018-01-18,5494.830078,7701.0,13281.429688,2798.030029
2018-01-19,5526.509765999999,7730.799805,13434.450195,2810.300049
2018-01-22,5541.990234000001,7715.399901999999,13463.69043,2832.969971
2018-01-23,5535.259765999999,7731.799805,13559.599609,2839.1298829999996
2018-01-24,5495.160156,7643.399901999999,13414.740234,2837.540039
2018-01-25,5481.209961,7615.799805,13298.360352,2839.25
2018-01-26,5529.149902,7665.5,13340.169922,2872.8701170000004
2018-01-29,5521.589844,7671.5,13324.480469,2853.530029
2018-01-30,5473.779785,7588.0,13197.709961,2822.429932
2018-01-31,5481.930176,7533.600098000001,13189.480469,2823.810059
