Date,Open,High,Low,Close,Adj Close,Volume
2010-04-21,161.669998,163.139999,157,158.929993,136.956421,30371000
2010-04-22,157.929993,162,156.289993,159.050003,137.059753,24823000
2010-04-23,160.190002,160.720001,157,157.399994,135.637909,14916000
2010-04-26,156.720001,156.990005,151.520004,152.029999,131.01033,30940700
2010-04-27,150.25,156.190002,150.149994,153.039993,131.880661,34516800
2010-04-28,156.660004,157.649994,154.690002,157.009995,135.301865,21226100
2010-04-29,159.550003,161.050003,158.339996,160.240005,138.085251,18464300
2010-04-30,151.899994,152.5,143.300003,145.199997,125.124626,73187900
2010-05-03,147.839996,150.649994,146.539993,149.5,128.830154,28282700
2010-05-04,149.029999,152.350006,147.830002,149.449997,128.787109,30313400
2010-05-05,148.100006,151.220001,147.199997,148.190002,127.701271,18355200
2010-05-06,147.479996,148.630005,139.059998,142.320007,122.642891,22984700
2010-05-07,145.380005,146.550003,141.5,142.990005,123.22023,21268500
2010-05-10,149.089996,149.899994,141.199997,143.830002,123.944077,23098200
2010-05-11,142.399994,145.5,141.550003,141.970001,122.341286,15497900
2010-05-12,144.240005,147.649994,142.279999,147.199997,126.848129,15457000
2010-05-13,148.360001,148.449997,144.419998,144.649994,124.650734,11517900
2010-05-14,143.410004,144.149994,141.899994,143.229996,123.427063,10977400
2010-05-17,143.470001,144.300003,138.529999,142.639999,122.918617,16330100
2010-05-18,143.690002,143.75,136.600006,137.360001,118.368652,18025300
2010-05-19,137.949997,140.130005,136.100006,140.100006,120.729797,18079900
2010-05-20,138.199997,139.490005,135.75,136.100006,117.282806,16279200
2010-05-21,137.080002,143.449997,136.25,140.619995,121.177902,25553400
2010-05-24,142,142.949997,136.509995,136.690002,117.791275,16556800
2010-05-25,134.729996,143.190002,134.199997,142.559998,122.849655,21490900
2010-05-26,144.289993,145.800003,139.690002,140.300003,120.902145,17073900
2010-05-27,142.929993,145.050003,141.039993,144.949997,125.221596,12910200
2010-05-28,144.419998,145.800003,143.100006,144.259995,124.625504,10683700
2010-06-01,144.259995,146.399994,141.699997,141.860001,122.552223,9455200
2010-06-02,142,145,141.139999,144.830002,125.11795,7668400
2010-06-03,144.910004,145.25,142.5,144.039993,124.435478,7454900
2010-06-04,142.169998,145.869995,141.710007,142.25,122.889099,14900400
2010-06-07,142.279999,143.270004,137.850006,138.679993,119.805008,12238600
2010-06-08,139.139999,139.679993,135.050003,137.779999,119.027496,14587000
2010-06-09,138.589996,139.419998,136.220001,136.800003,118.180847,8950600
2010-06-10,137.600006,137.770004,131.300003,133.770004,115.563286,21931000
2010-06-11,133.330002,136.050003,133,135.639999,117.178772,9241800
2010-06-14,137.110001,137.110001,133.399994,133.440002,115.27816,10951400
2010-06-15,134.630005,137.399994,133.300003,136.899994,118.267273,10649300
2010-06-16,136.059998,138.259995,135.710007,137.059998,118.405441,7077700
2010-06-17,136.949997,138.380005,135.220001,137.320007,118.630089,8104300
2010-06-18,137.820007,139.720001,137.520004,138.179993,119.373016,10154900
2010-06-21,139.649994,140.149994,137.309998,137.740005,118.992943,8691000
2010-06-22,137.539993,137.75,134.589996,134.789993,116.444427,9002200
2010-06-23,133.899994,136.380005,132.729996,135.070007,116.686333,8232200
2010-06-24,134.139999,135.979996,133.110001,134.979996,116.608574,9967900
2010-06-25,136.990005,140.899994,135.429993,139.660004,120.651596,14332300
2010-06-28,140.380005,140.380005,136.529999,136.660004,118.059898,9908100
2010-06-29,134.979996,135.850006,133.169998,133.759995,115.554634,10338100
2010-06-30,133.679993,134.300003,131.020004,131.270004,113.403557,9139800
2010-07-01,131.690002,133.75,129.5,131.139999,113.291206,11645300
2010-07-02,132.110001,132.380005,129.690002,131.080002,113.23938,6566400
2010-07-06,133.740005,134.389999,131.070007,132.259995,114.258812,7820100
2010-07-07,132.440002,136.130005,132.070007,135.830002,117.342888,9300400
2010-07-08,136.919998,137.169998,133.559998,135.460007,117.023247,9895700
2010-07-09,135.360001,138.5,134.589996,138.059998,119.269363,6919900
2010-07-12,137.610001,138.309998,136.029999,137.25,118.569588,4728900
2010-07-13,138.5,141.199997,138.110001,140.25,121.161308,8983900
2010-07-14,139.289993,139.589996,137.649994,139.059998,120.133247,6068500
2010-07-15,140.020004,146.25,137.820007,145.220001,125.454865,21621900
2010-07-16,151.470001,152,146.050003,146.169998,126.275574,29604600
2010-07-19,147.669998,147.699997,144.100006,145.679993,125.852211,10875900
2010-07-20,142.179993,149.729996,141.550003,148.910004,128.642654,20571400
